sample,group,tmin,tmax
MSA17i,MSA,0.981179,11.385314
MSA58a2,MSA,14.843087,15.103871
MSA57i2,MSA,15.950955,16.388073
,,18.668505,19.064385
,,19.526244,19.868515
,,21.352287,21.756415
,,22.28013,22.568793
,,22.934963,30.40874
MSA14a,MSA,9.169976,9.281866
,,10.39247,11.900515
,,12.550457,13.579098
,,14.711497,17.702899
MSA55i1,MSA,3.429185,3.915506
,,6.304853,6.726662
,,8.109907,8.274396
MSA73i2,MSA,6.529249,6.692857
,,8.012484,8.145953
,,12.176646,12.256288
,,12.37957,12.502852
,,13.285961,13.350492
,,14.940922,15.014929
MSA57i1,MSA,15.630935,15.87003
,,20.921692,21.338401
,,21.783512,26.640561
,,26.844712,27.288746
,,27.650101,27.741128
,,28.101027,28.422014
,,28.664836,28.73878
MSA73i1,MSA,4.106437,4.22432
,,7.033247,7.126481
,,10.220114,10.289934
,,10.402783,10.472603
,,11.616576,11.73105
,,11.804103,11.86134
,,12.61027,12.673676
,,13.600488,13.698355
